"","x"
"1311",93.81147003
"1312",92.84680939
"1313",92.92271423
"1314",95.69100189
"1315",95.35102844
"1316",92.90339661
"1317",96.31799316
"1318",96.72931671
"1319",94.82611084
"1320",93.84644318
"1321",91.70439148
"1322",91.8320694
"1323",91.50250244
"1324",92.66851807
"1325",90.80934143
"1326",90.99204254
"1327",91.4482193
"1328",97.29023743
"1329",96.29823303
"1330",95.70110321
"1331",94.95501709
"1332",93.01934052
"1333",91.00778198
"1334",86.90512848
"1335",85.17046356
"1336",87.11075592
"1337",88.0684433
"1338",87.43021393
"1339",67.77376556
"1340",50.98845673
"1341",45.63966751
"1342",45.32424927
"1343",44.41486359
"1344",45.26374054
"1345",50.69716644
"1346",51.2680397
"1347",51.70377731
"1348",54.95380402
"1349",55.75929642
"1350",56.40005112
"1351",57.36081696
"1352",60.01561737
"1353",60.12945557
"1354",62.41005325
"1355",61.72408295
"1356",67.21316528
"1357",67.84442139
"1358",67.00652313
"1359",69.31360626
"1360",71.46433258
"1361",73.68798065
"1362",75.63065338
"1363",76.22193146
"1364",77.10462189
"1365",77.76708221
"1366",77.43504333
"1367",76.93038177
"1368",79.48426056
"1369",80.25937653
"1370",79.24649048
"1371",78.38035583
"1372",80.82450867
"1373",80.68883514
"1374",82.44602966
"1375",82.35586548
"1376",83.02315521
"1377",82.03287506
"1378",83.87414551
"1379",85.52253723
"1380",90.02577972
"1381",89.38505554
"1382",91.07117462
"1383",91.5634613
"1384",94.43781281
"1385",97.80902863
"1386",98.82790375
"1387",99.30563354
"1388",98.96194458
"1389",99.65600586
"1390",99.12631226
"1391",98.74607086
"1392",98.76667023
"1393",99.64428711
"1394",98.65159607
"1395",98.07036591
"1396",96.89163208
"1397",96.22291565
"1398",97.45006561
"1399",97.49677277
"1400",98.80786133
"1401",101.2911758
"1402",103.0357056
"1403",102.8734055
"1404",104.0442276
"1405",102.8901596
"1406",102.0739975
"1407",100.5362244
"1408",100.8494949
"1409",102.4638748
"1410",101.6241837
"1411",102.915802
"1412",104.9384232
"1413",105.8885117
"1414",107.0708847
"1415",108.5163651
"1416",110.6164474
"1417",109.9196548
"1418",111.4165649
"1419",115.532074
"1420",115.0825653
"1421",115.8539429
"1422",111.2506256
"1423",110.3012619
"1424",110.5209198
"1425",111.5898361
"1426",111.3249512
"1427",112.9275665
"1428",110.0849457
"1429",108.003067
"1430",108.2652969
"1431",105.2953796
"1432",104.5112457
"1433",101.9796219
"1434",101.4390945
"1435",99.32408905
"1436",52.85985947
"1437",21.02125359
"1438",21.01719856
"1439",20.58842087
"1440",15.89958286
"1441",18.82820892
"1442",20.28390312
"1443",22.6693058
"1444",25.22489738
"1445",25.92899895
